user_id,actual,model_preds
218,"[  823850   831509   844697   919157   931672   968658   983078   984140
  1024006  1037894  1044078  1044480  1045150  1069094  1073884  1082544
  1096817  1098191  1100124  1101418  1103930  1107749  1125123  5572828
  5589662  6513713  7410216  8119301 13115641 13115804 13115808 13842160
 15716406 15717274 15717403 16768032   865558   912806   934852   942151
   951821   960984  1036930  1040137  1061220  1062117  1071157  1071939
  1109352  9526430 12582361 12649328 13842088 15973008   834484   838554
   860167   860776   880858   890260   894439   951561   962568   988736
   993430   993625  1062502  1077133  6463949  9881666 15926886 15927505
 17959460   821174   825343   883732   901666   914190   932577   953143
   969725  1009969  1015974  1022254  1028816  1084997  1115175  1131602
  5572898  5576547  8293426  8293600  9420210 13073175 13672065 13672066
 13910247 15483038 15596204 15972784 16096969   864722   965772  1040693
  1114456  6034239  6552254  6554188  6554202 10311657 12301825 14020992
 15830493 17179899 17959192]","[923746, 8181477, 931672, 1097001, 1012816, 13842088, 962568, 860776, 6034857, 1052912]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
219,"[  852856   953837  1080941  1082185  1127831  7168257  8160313 16097423
   821083   835098   842434   857276   862349   873847   883912   886926
   916381   950894   951590   960613   961281   972229   981760   985595
   989824  1000237  1033050  1047686  1068561  1069003  1076580  1111722
  1123022  1130858  1137507  1139835  5569471  6979220  7100967  9653535
 12811534 13213113 13877192 15506577 15597011 17284423   843306   845090
   860703   863655   875252   913658   914957   937413   952408   995242
  1024629  1033557  1132771  1135834  7139529  1170679  1292103  1316009
  1353286  1430402   839485   846466   866211   879504   897907   904959
   916758   948811   969725  1004001  1007929  1024306  1026058  1026944
  1030981  1050851  1090676  1092869  1096261  1115175  1122961  1128812
 13513326 14050714 15452024  6534178   838319   943223   948650   956893
   970919   978270  1010578  1087102  1097635  1098844  1130729  5996368
 12810393 15830972   843031   854852   857503   860776   929575   955456
  1004475  1105623  1135476  1138132  5568789  9677620  9832070  9859111
 12257418 13906641   823099   825180   842125   871402  1111035  5568228
 10121965 15741798   860528   940947  1040371  1058115  1096960  8119004
 15596872   821640   824426   826249   921504   930118   946273  1039923
  1048483  1068343  1069366  1074516  1102067  6533681 15972074 16729296]","[951590, 5569374, 1135834, 939119, 5568447, 882604, 1061203, 1122889, 1005911, 1132771]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
220,[ 892531 1008032 1103629 1123022 5568729 8019805],"[923746, 859075, 833025, 9553031, 960984, 866211]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
221,"[  820895   837073   840102   855468   859592   890862   919828   921852
   994928   996851  1035386  1035836  1040807  1043751  1043958  1046551
  1066289  1068343  1070146  1108152  1121636  1133018  1137680  1138132
  9571047 12427353 15686691 15831255 15926886 15926962 17105058   824311
   826730   830541   859026   863529   867188   867667   890377   927841
   932574   937736   985742  1041119  1060408  1068719  1082185  1084949
  1094352  1123655  1135071  6424464  8119000  9837094 15660256 15681692
 15687115   915621   999134  1017220  5565352 15973290]","[883404, 849843, 911470, 912553, 859026, 889731, 1070463, 844023, 921852, 1046551]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
222,"[  942088  1011300  1110572   856335   865174   866211   878996   891141
   893018   901403   927191   936594   952568   999779  1001525  1032549
  1043338  1061220  1066380  1079840  1082185  1094190  1102456  1120741
  5583944  5584007  5585635  5585639  5586076  5586942  5587837  5588666
  5589247  5590287  6464147  6553737  9911484   821556   840361   899617
   937292   948509  1005659  1058997  1094308  7409941 12330771   889731
  1028885  1062782  1071759  6039859   819487   827476   839419   847066
   847982   849843   855356   859075   870390   886302   897752   899257
   907817   915349   933729   938589   940947   947201   974579   980666
   991268   995242  1003661  1005997  1007148  1058779  1112238  1121053
  1133654  6034857  9522453 10150013 10254584 10344718 13876939 15595945
 15596094 15713209]","[849843, 1126899, 985185, 1094308, 1120532, 1130111, 927191, 12524323, 844685, 15452812]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
230,"[  828798   891028   913210   913794   941183   961554   973693   999270
  1004906  1007512  1021116  1053058  1077540  1082185  1124695  5572828
 12301073 15483038  1071697 16055892  1004555   873964  1023815  9879410
   880150   992622   999971  1084968  1107553  8293324   820165   845208
   851508   903123   938566   944137   946308   964813   986947  1081435
  6553739  8090542   834103   845193   959985   962568   990941  1013641
  1033220  1105938  1114483  8065410 15777852   844179   852600   868727
   880284   890695   916487   945627   954651   968932   979566  1008547
  1029743  1031892  1120443  5566674  7409880  8090532  8090537  9337581
 12456375 13115903  9879409   991951   879948   988791   846735  1131246]","[883404, 859075, 8090537, 913210, 831763, 1103105, 847049, 1053058, 1044078, 844179]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
232,"[  828901   857849   873847   890999   923746   976199   977545   978221
   987410   991635  1014388  1022254  1031864  1049735  1096622  1122250
  8064946 13380702 13911200 14050485 15926844 17104786  6533765  6534178
   857201   997200  1061339 12731641   950098]","[1092026, 1068719, 1016800, 1133018, 5592931, 840361, 1118533, 953476, 878637, 934676]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
235,"[  840361   862349   888543   895163   916758   997979  1056740  1066949
  1103691  1121384  5566748  6424471  9796639  9835903 12301334 12301784
 13006921 13190370   824813   999730  1070820  1075232  1082955  5978656
 15629834 15629841   828977   833787   862732   871834   906995   942556
   960605   961979   981609   983584   983666  1013784  1054819  1075007
  1101144  1106523  1135059  1138537  5565202  5573375  5584027  9420094
  9483757  9485437  9837058  9837182  9884509 12582050 17330255 17899563
  6534178]","[983584, 1070820, 1062128, 1048352, 862732, 1047769, 885710, 5565202, 1055425, 916122]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
239,"[  820165   857849   859075   892048   946793   962568   976864   976998
   982000  1029968  1033220  1037863  1056746  1081177  1087955  1120741
  1123792  1133018  1135834  1137688  5995626  9527293 12731685 14019791
 15926712 15971508   834484   847270   859730   910291   969149   970669
   986947  1055646  1069415  1071377  5586268 15827772 17104444   830960
   850925   852864   898763   903602   906226   910439   918771   920461
   939546   947200   948787   984715   999134   999971  1055283  1070463
  1084138  1106301  5591627 15596140 15596383   865330   906211   910374
  1060374  1081355  1100860  1107289   876795  1008041  1096036 15596866
 15831380 17214946   845208   850841   903242   936792   981760  1004906
  1035946  1046689  1068315  1075337  1090884  5563934 16809471   871909
   959409   999858  1072523  1073735  1106523  1111839  5592931 13190294
   908940   919379   955774   999226  1013321  1059473  1065496  1125197]","[1133018, 1096036, 1106523, 840361, 1043590, 857849, 1123792, 1120741, 976998, 1081355]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
242,"[ 1062698  1069047  1134882 12649234   910340   971270   978343  1093093
  6463579  9677366 15972117   830887   894236 13512989   849315   853643
   854852   859075   862732   870780   877673   883404   890719   908283
   928555   939681   948888   957950   960677   979707   985427   987219
  1000236  1015731  1022714  1029743  1044599  1055646  1096036  1136257
  5995491  6602697  7139529  8159821  8205252  9546982  9802527  9802666
 12487489 15595741]","[6463742, 7139529, 1138487, 6979803, 862732, 853643, 12810393, 985160, 908504]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
243,"[  901062   954351  1003661  6534178   906965   962568  1091481 15775023
   874530   962721  1090330  1111528  1126899  1132968  8019636 10182803
 12696089   909387   958383   979728  1089507   881249  1002771  1004906
  1038437  1041259  1108152  1117393  1137688  6034857  9677231   844468
   849931   869465  1001389  1012899  7085339 12524956 12604481 13190250
 13381540 16766021   826969   845208   855422   857365   857921   891377
   961554   976065  1033044  5978648  5978656  7410170  9483753 12257397
 13007618 13513359 13842160   833849   877935   995478  1052912  1133404
 12524019   844697   861272   903325   908846   940842   962950   972445
  1024489  1051516  1058939  1077166  1123035  9799219  9803305 12524030
 13382240 15568597 15927812   847270   941427  1008547  1020722  1028816
  1068715  1078666  1102607  1130517   842995   860776   909714   918994
   937502   953713   985922  1018991  1075337  1126436  9803579   967476
   976199   981760   991223  1035843  1040927  1045710  1082185  1121808
  1133018  7409589 10307325]","[1126899, 1037451, 5566697, 1135044, 7467081, 866211, 962568, 860776, 901062, 909714]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
248,"[  863436   910473   908531   929668   929751   958647   977166  1008324
  1032512  1034956  1053530  1106523  1126899  7167687  7167853  9881592
  9881593  9884484   840640   852360   880858   939527   966528   991411
   994928  1056746  1058997  1101980  1103629  1121674  1133018  6553237
  9677886  6534178   819765   826385   840361   843111   845774   849843
   852600   853038   853522   863259   863449   871252   878338   879635
   880253   880343   893739   893868   895606   900112   903513   903931
   906226   908181   910255   915586   917654   919589   921504   921836
   922907   925694   927191   929341   930917   937276   938622   949431
   952981   957420   959985   960984   967065   968774   969836   978306
   978879   980657   981240   981370   982955   982973   991959  1000707
  1003188  1007082  1014802  1015597  1017201  1017772  1018670  1018685
  1018859  1019078  1023466  1024871  1027960  1028782  1028885  1037332
  1038217  1040788  1041119  1045220  1060363  1065331  1066725  1070463
  1075536  1075637  1079840  1081582  1082185  1085095  1125199  1125739
  1131321  1135355  5566472  6391436  6396537  6396561  6396562  6396581
  6514008  6514302  6633078  6633276  7025203  7144140  7168890  7409970
  7410016  7410248  7410289  7410290  8118969  8119318  8159504  9296919
  9333437  9707078  9707461  9837153  9837807 10121965 10285335 10355865
 10457531 12263035 12263279 12263464 12384431 12524005 12781564 12781828
 12781829 12782182 13416351 13417590 13512260 13672066 13672161 14025183
 15452300 15452833 15452904 15596495 15596706 15716672 15717120 15972115]","[849843, 7167853, 977166, 929751, 1058997, 1126899, 913210, 897125, 7410016, 1052046]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
249,[ 994928 1029743 1053690  820291  914754 1110572],"[883404, 1068719, 826249, 1053690, 994928, 893018, 1106523, 833025, 896369, 5592931]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
250,"[  820361   840890   910473  1026118  1055646   833025   855138   885697
   909611   965842  1029743  1086732  1092937  1097239  1134882  5592094
  8019437  8090537   828867   842140   907441   916133   923967   951590
   955259   962568   963835   973889   982955  1009821  1103629  5568378
 15972298   847374   936110  5568729  5591230 13945244   844165   873178
   890749   892531   904812   910673   914676   949684   985427   995876
  1025641  1048849  1104475  1110764 15452860   834396   859191   904777
   923169   925711   925862   926307   940766   951526   972742   985911
   989075   995242  1051781  1117067  1128016  7441210   855257   892500
   912902   937301   987724  1002739  1027569  1031906  1056509  1122428
 12301109 12524365]","[844165, 5568378, 1076875, 885697, 951590, 883932, 942525, 1110764, 910473, 1128016]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
253,"[  837684   952563   964356   992150  1029195  1034949  1040712  1051069
  1080414  1092948  1118393  6464020 13986424  6534178   826790   832678
   845193   852864   854900   860776   889779   891393   899624   922561
   946977  1027068  1033615  1062966  1082185  1102959  1106523  1106601
  1128647  9526666 12352102 15926725 15926863   849520   932182   933456
   951590   971962  1022254  1051516  1068719  1078346  1115006 12731685]","[879755, 923746, 1068719, 859075, 870547, 1133018, 1106523, 844165, 1070015, 5568378]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
256,"[  825541   844759   850020   858770   861272   862349   870307   873801
   874058   885406   892844   906883   913490   925863   934369   941671
   944836   945538   946244   957736   964520   965766   970119   987734
   989824  1003133  1011303  1012284  1013167  1017195  1021324  1024938
  1028890  1034176  1034686  1040935  1043494  1050229  1050443  1060193
  1068855  1070898  1087366  1095737  1098066  1111786  1129709  1133523
  5567502  5568378  5592261  5978648  6979089  7025326  7167441  9297064
  9333734  9655242  9858920 12132322 12987976 13007411 13008314 13190188
 13190349 13417853 13842214 13910860 15716298   836280   838186   868430
   869874   923188   937573   949334   950327   952521   976214  1010951
  1012307  1040313  1046488  1066641  1074519  1074697  1082212  5979932
  6602440  9245347  9859128 12810337 13095581 13512649 14019790 15595804
 16058672]","[5569230, 8090521, 5569327, 5568378, 1002178, 7025326, 843756, 1012284, 1034686, 885406]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
257,"[  837107   839188   939546   962118  1021562  1079048  1118033  1132770
 14025461   855434   951590   999250  1070015   898980   908504   911622
   918368   920844   985119   988697  1051323  1093413  1106523  6396492
 10355471 15596021 16729415   945200  1075175  1109778   828525   831808
   834833   857849   918046   994928   999971  1033846  1123407  1054383
  5566804   819978   828106   839419   873782   885586   897413   900770
   923403   953320   962283   965679   977499  1055283  1070716  1096635
  1113588  1126969  1132911  5568378 10204543]","[883404, 859075, 994928, 1106523, 1070015, 988693, 1132770, 1033615, 985119, 834833]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
263,"[  951590  1024051   838738   842455   911162   940947  1029743  1077555
  8019902 13877238  1124432 12384775  5568729  1101010  1104604  1109778
  1113588 15926886   826249  1042697  1044078  1081177  1082185  1121059
   843111   855138   982833   985427  1026118   830795   844697   994928
  1110244  9487603   952317   819765   826790   831063   841220   851226
   867667   870111   883932   892008   895743   898068   914585   937928
   939578   979707   991546   995242  1004906  1059930  1068708  1070702
  1088191  9245106 15778315]","[883404, 826249, 994928, 1038217, 965766, 867188, 892008, 1004390, 1014238, 921614]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
276,"[  835300   845208   847803   847982   913671   916122   940947   951590
   972931  1022003  1030122  1050229  1056267  1075175  1080333  1100658
  1101174  1102949  1130720  1133893 13506015   859075   942088  1029743
  1051069  1075368  1093444  5568411  5569471  6463483  7441419  9419419
  9485758  9527101 12696183  6534178   932500   937725   970747  1099036
  9333734 12456256   898212   930311   932248   972416  1047523  1053690
  1055072  1058779  1071939  1139415  6034569 13190294 13945244   825317
   907099   926646   992300   995242  1045478  1093563]","[826249, 8090521, 1005609, 857849, 951590, 1022003, 944534]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
281,[ 914190 1070820 1077048],"[833025, 854852, 995785]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
282,"[  843756   847270   859075   871402   892531   908846  1011459  1027642
  1053690  1056651  1078118  5571261  7410111 12524067 15452761  8181028
  6534178   825358   832768   865357   886291   892920   909129   916122
   917704   957736   961366   967395   967514   973861   979707   995785
  1003600  1005186  1044078  1055646  1063056  1118046  1123022  1125246
  1127651  1138854  5566844  6534515  8175869  8181355  9798958 10344718
 15972790 16733731 17901229 17902762 17903347 17903691]","[1130581, 861272, 911088, 919180, 979707, 1013389]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
283,"[  838050   860248   862349   953320   989824   991223   991303  1043590
  1057271  1138443  5569471  6442470  6533437  6534657  6904357  6904409
  6904423   969620  1016642  1026162  9396697 17104555 17104608   834484
   900391   951821   979523   984680  1000672  1104414  5568729  5978656
  7442008  7442307 14025374 15596468 15596469 15596593 15596659 15596960
 17179856   826249   849843   893018   942979   990797  1011876  1066923
  1082185  5564898  7409644 15863524   843898   853756   875286   889511
   910831   914872   938690   940947   942088   990941  1010681  1017813
  1040553  1066882  1074933  1095751  1112212  1114811  1122790  7168759
  7442002  9655752 15596389 15596518 15596839 15597019   840361   850841
   880150   886291   907308   908318   927291   948368   961554   962568
   976199   986121   987562   993988   995358  1020682  1039506  1040346
  1041259  1042438  1043301  1044500  1059969  1083045  1085476  1107661
  1112387  1126294  1135476  5569230  5569327  5569845  5995692 13115992
 13213310 13213563 14077333 15926863 15926962]","[826249, 990797, 5569471, 1070820, 914190, 5568729, 865705, 1110218, 1002838, 15926775]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
289,"[  847314   876256   901666   964262   969977   970030   981760   992058
  1028657  1039028  1041259  1058252  1082185  1082770  1101725  1104343
  1125497  5566855  6463727 13071902 13769262   842140   845955   858251
   861990   865456   878850   922096   923528   925862   957267   961554
   962274  1003600  1022254  1024643  1051468  1051990  1056067  1072679
  1081189  1139377  6513824 10284972 12384177 16809339  6533889  5585510
   880308  7025164 15596841   819643   881883   909714   931606   951951
   963517  1037451  1038144  1076056  1135044  5569379  5978648 13511027
   838738   864279   901754   908975   937587   962568   967569   990604
   998444  1004475  1097418  5572000  6034857  6632318  9707080  9837501
 12263264 12263340 15716608 15800894 17291305   840602   847270   903325
   912807  1070238  5583623  6513990 12352283 12673417 13416119 15596834
   865633   987838  1055030  6919377 13511347]","[12384177, 1081853, 914190, 976199, 1104343, 964011, 873654, 916050, 1048260, 879445]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
290,"[  952317   995230  1001702  1027068  9420312   873964   977288   995242
  1033403  1077588 12582219   840361   871756   876932   899624   913202
   969866   992529  1002130  1006978  1084331  5586918  6463658  7167218
  9526563  9527487 12185599   863208   871094   898554   962229  6423911
   864741   877447   919489  1012587 15926725   867188   907014   946757
   999226  1013928  1037863  1108168  9858795   838733   857605   866950
   882830   907128   912112  1069056  9337581 10204487 10204488  1024875
  1080414   863762   931671  1042232  1081779 12256520   853174   909894
   999779  1033142  1046465  1082185 12577433   826631   885863   895930
   925258   948420   975217   995499  1096036  1097271  7024853  9527159
   832207   902192   906512   923746   947798   985893  1003421  1025816
  1029743  1071333  1072685  1081262  1085333  1096635  1110964  1139303
  9194664 12731621 16223358   909349  1068719]","[923746, 1068719, 1096036, 5568378, 988693, 909894, 898980, 995230, 9420312, 985893]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
294,"[  822407   833169   834484   836952   852317   856519   859010   861419
   893400   919644   919704   922307   927019   936889   944454   946839
   951855   964968   976300  1004906  1029504  1033545  1039589  1045220
  1088191  1105938  1106523  1121384 12811532 16733706 16734660 16770144
   876932  9526159  9527350 12648967 12670071  1058930   884268  9836722
   860776   891028   916993   945662   948368   995785  1016863  1029743
  1048068  1056492  1068258  1096317  1116096  5591154  9245108 17249913
   823721   844991   970377  1121741 13876794   844179   845265   851952
  7168055  8090509   840322   867931   876695   909510   917654   957420
   965719   990762   995242  1018670  1022859  1024306  1047944  1133018
  8091445  8379813 12731641   831124   896522   993441  1082185  5569915
 13986772]","[908531, 1106523, 838186, 965766, 873627, 1048068, 1137387, 867020, 1101010, 905087]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
300,"[  844165   859121   860439   885321   932298   938599  1007434  1045584
  1055459  1057377  1076875 13003110  1074097  1125347  1136664   852182
  1048462  1106523  1118533 13040077 15971851 16770156   823641   861819
   896757   902094   939900   944534   984671  1009850  1048440  1083268
  9245106 15683851   828857   855914   874736   886971   962118   962229
   965719  1089021  1090017  1106602  1120741  9655212 12302069 15972074]","[883404, 923746, 826249, 1106523, 830156, 989935, 951590, 998373, 1123556, 1128744]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
301,"[ 1085920 12301109   829315   830015   831937   841287   844179   846811
   856252   875396   878222   882308   891520   892008   898510   903233
   930917   933248   947797   948254   957736   961620   968713   970710
   993028   994928   995242  1014458  1015474  1024306  1031326  1033845
  1046587  1066725  1067211  1074608  1076280  1082185  1084203  1085161
  1118036  1137284  1139184  5564906  5565322  6463367  6464086  6979086
  7166817  8119129  9296847  9297474  9419487  9677303  9677617 10180324
 12428017 12525346 13213676 15452336 15775395 15927812 16207435 16220944
 16223130   847738   819978  5591520  9420180 13189726  1039156  1088021
  1106390   825749   833866   844165   852600   855557   857503   866355
   874972   903325   907860   923849   924423   934369   935990   941468
   942341   956902   962372   963065   991752   992128   999250  1019196
  1023339  1038721  1040693  1046500  1059229  1071625  1074333  1077540
  1107808  1112417  1128182  1128240  1139569  5578494  5584847  5585186
  5587043  5588238  5591083  6034857  6039592  7443306  8293343  9194664
  9245106 12525256 12946027 13007600 13008326 13417048 13842214 15574118
 15596279 15596488 15596764 15686893 15687114 15716677 15716751 15717031
 15717070 15830159 15830983 15924983 15926507 15964384   823571   937254
   960401  1031056  1046562  1094532]","[5565322, 1014458, 1102927, 933835, 996955, 825994, 9837807, 9837153]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
302,"[  877402 10311774   859075   892844   914190  1005493  1055646  1117849
  1133072  5568320   891415   958153   967395  8204093  9677462 10255061
   892531   901639  1056762  1119879  7409949 15926712  7160819  9655215
 13910838 13910839 13911393   891730   920900  1027168  1071594 15926638]","[892531, 10344586]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
304,"[  828867   908531   982493  1042438  1048440  5572828   833458   868764
   900145   932298  1068719   833025   838797   856060   859075   871061
   873627   890344   913210   952972   960369   960613   998119  1058779
  1097237  5590695  7139529  9527184   823704   840505   854920   940947
   947858   981086   981760   990797  1020682  1075313  1133072  6534573
 12811502   835499   844165   861626   862866   981745  1004122  1074333
  1096226  1120559  1122358  7409951 10285141 13213107  1023546   830887
   857554  6554400 15972638   857620   891095  9487327 15925494 15927183
 15927420 15927949   850044  1029743  1076875  8205731 15452300 15452311
 15452444 15597006   838794   913202  1031866  1128812  6034569  6463658
 16769478]","[923746, 1068719, 1106523, 833025, 8090532, 5568378, 983584, 5567502, 9527184, 1058779]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
306,"[  995880 14111912  6534178   857849   861279   891028   971195   989758
  1033651  1065832  1069348  1096099  1115919  1135694  5578643  7167218
 12781829   840361   847270   860439   889618   923670   942151   952707
   960613  1012338  1053474  1074524  1075637  1082185  1092502  1103741
  1108624  1131034  5996541 12524323 13381928   840173   844839   852864
   886481   923746   929668   957013   961554   977884   985911   996016
  1033347  1037863  1049735  1053993  1101010  1104146 13417511   929341
  1090784  6533368   995785   904813  1121041  5584645  5584847  5585636
  5588238  6773180 10342101   831366   838940   842434   843376   847982
   873160   877498   902659   905817   911703   934676   962229   985579
   988778  1015380  1032513  1042907  1050229  1056187  1058633  1059308
  1074405  1084526  1094746  1094781  1100150  1104227  1135650  1137899
  6534480  6904389  6904409  6904423  9416729  9655212 12188583 12188584
 12692332 13115626 13115808 15926712 15926886   948086   973086  1013572
  5587043  6464074 12781828 17208624   896085   915933   933146   960791
   995242  1003421  1038894  1058942  1139493  7410290   831246   849843
   998549  1017813  1031447  1054047  1077588  7168890  9832469 15452457
   874058   883145   883400   932702   941368   944137   995876  1068291
  1121360  1136257  6034857  7407884  7463287 14025614 15778553 16733731]","[883404, 923746, 865456, 962229, 840361, 954363, 1050229, 896085, 852864, 13877192]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
314,"[  820486   820560   825176   833556   838769   850795   851599   878880
   893018   897125   915349   920455   925483   939596   940700   965719
   979239   981760   995965  1001266  1009187  1013321  1030819  1030981
  1053754  1055382  1059969  1082185  1088393  1106523  1107089  1124674
  1125904  1130858  1138220  5564901  5591814  7082640 12263448 12525270
 15972392   844179   918335   967254  9368445   882308   883404   898363
   904241   913201   932530   935008   945273   946273   948832   976214
   990694   999858  1010029  1030040  1034686  1039126  1043973  1098844
  1101477  1137775  7166696 15452272 15660095 15687115]","[833556, 945273, 849315, 1124674, 905582, 979239, 820560, 1088393, 915349, 878880]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
317,"[  837614   849870   856713   894426   896074   902396   909497   913278
   931324   931671   960613   987148   994841  1002739  1003257  1009333
  1022969  1100096  1122827  1129819  5572200  9527455  9655377 12984576
 15863842 15972026 15972239 17106330   833583   842783   853887   862318
   885863   903233   926033   938255   947316   948298   951590   967254
   983584  1016421  1029743  1058404  1102003  1107960  1115576  1138443
  8019956  9859082  9859111 10344714 12605691 13842100 14025655 15971549
 15972298   838118   842769   931672  1022003  1029968  1036347  1069103
  1074516  1082185  1099656  1110559  1116096  1135768  8204737 12171656]","[965766, 951590, 849870, 883003, 12301109]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
319,[ 865026 1101010 1011303],"[994928, 913785, 1056509, 7442180, 1050229, 976199, 5592993, 1012816, 844179, 916122]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
321,"[  873654   903325   949196   976108   993214   999794  1004906  1037560
  1044895  1068719  1075214  1116242  1126310  5567169  5580166  7166791
  7166817  7406474  7410304 15452505 15737492   883732   890695   964520
   968658   986912   993638  1009449  1091380  1096290  1119415  1134414
  5565453  5566844  7442894 15926885 16053142   829323   918025   932298
  1008547  6534030  9926758 10456174 15452641]","[840361, 1058997, 819978, 944836, 1004906, 901062, 979707]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
324,"[  888178   899147   944564   954642  1026258  1040505 12326171   909141
   920002   951188   952376  1002141  1003254  1029199  1034639  1077771
  5569049  5569230  5569374  7442824 12949455 13035362 15830930   820165
   824072   824305   834570   862885   901062   901452   901666   903325
   942278   953180   955075   974177   975431   993560  1000586  1003600
  1009769  1010681  1027372  1031447  1033044  1053107  1056065  1060408
  1065610  1076608  1079542  1082185  1087081  1095751  1101960  1103975
  1112667  1117514  5591597  5592757  6463482  6961354  7168759  7168890
  7443456  8068465  8248997  9526100  9655482  9676763  9677019  9677466
 10456180 10456370 12301784 12302114 12384779 12525017 12582106 13007846
 13094965 13115500 13189981 13416784 15452510 15452904 15595864 15595947
 15596626]","[840361, 1070820, 13007846, 888178, 944249, 986947, 903800, 903325, 961554, 979707]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
325,"[  842640   850044   945662   995954  1038072  1065056  1076881  1137169
  5578856 10285141 15629852 15630134   827133   868423   908940   977543
  1012284  1023697  1061203  1087231  1108982 10456457 13115666   820165
   857503   863529   884333   896862   927011   928589   933067   940207
   948468   956067   958826   976199   995771  1014860  1051989  1074524
  1084949  1085095  1085138  1094744  1126719  5567601  7168417  7410217
  9837093 12352201 13115699 13115896 13986340 15596834 15778265   918676
   920724  1016573  1062128  1083872  9837092 10457123   834435   862349
   885863   916575   922561   951561   976065  1043142  1133654  5569230
  5569471  5569845  5570109  8177622  9419443 13008463 13842082 15778662
   851819   985838  1064908  1088634  7442007 13416351 13417846]","[1053690, 976199]
Categories (3231, int64): [818980, 819063, 819255, 819304, ..., 15831255, 15926775, 15926844,
                           15926886]"
